Level	Date and Time	Source	Event ID	Task Category
Error	3/31/2017 3:47:28 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=25, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 3:47:28 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 3:47:28 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
Error	3/31/2017 3:47:28 PM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=21, authorId=311, vendorId=0, vendorType=0
Warning	3/31/2017 3:31:05 PM	Microsoft-Windows-Kernel-Processor-Power	37	(7)	The speed of processor 2 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 187707 seconds since the last report.
Warning	3/31/2017 3:31:05 PM	Microsoft-Windows-Kernel-Processor-Power	37	(7)	The speed of processor 1 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 187707 seconds since the last report.
Warning	3/31/2017 3:31:05 PM	Microsoft-Windows-Kernel-Processor-Power	37	(7)	The speed of processor 0 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 187707 seconds since the last report.
Error	3/31/2017 3:27:31 PM	SecurityCenter	16	None	Error while updating Windows Defender status to SECURITY_PRODUCT_STATE_ON (error BA060000).
Error	3/31/2017 3:27:31 PM	SecurityCenter	16	None	Error while updating Windows Defender status to SECURITY_PRODUCT_STATE_ON (error BA060000).
Error	3/31/2017 3:23:09 PM	SecurityCenter	16	None	Error while updating Windows Defender status to SECURITY_PRODUCT_STATE_ON (error BA060000).
Error	3/31/2017 3:23:09 PM	SecurityCenter	16	None	Error while updating Windows Defender status to SECURITY_PRODUCT_STATE_ON (error BA060000).
Warning	3/31/2017 3:19:46 PM	Microsoft-Windows-Kernel-Processor-Power	37	(7)	The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 187707 seconds since the last report.
Error	3/31/2017 11:53:50 AM	SecurityCenter	16	None	Error while updating Windows Defender status to SECURITY_PRODUCT_STATE_ON (error BA060000).
Error	3/31/2017 11:53:50 AM	SecurityCenter	16	None	Error while updating Windows Defender status to SECURITY_PRODUCT_STATE_ON (error BA060000).
Warning	3/31/2017 11:50:19 AM	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name wpad timed out after none of the configured DNS servers responded.
Error	3/31/2017 11:50:15 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=43, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 11:50:15 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=25, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 11:50:15 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 11:50:15 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
Error	3/31/2017 11:50:15 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=21, authorId=311, vendorId=0, vendorType=0
Error	3/31/2017 11:50:14 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=43, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 11:50:14 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=25, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 11:50:14 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 11:50:14 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
Error	3/31/2017 11:50:14 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=21, authorId=311, vendorId=0, vendorType=0
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=43, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=25, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=21, authorId=311, vendorId=0, vendorType=0
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=43, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=25, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
Error	3/31/2017 10:01:03 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=21, authorId=311, vendorId=0, vendorType=0
Error	3/31/2017 10:00:55 AM	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	3/31/2017 9:38:47 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=43, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 9:38:47 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=25, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 9:38:47 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=17, authorId=9, vendorId=0, vendorType=0
Error	3/31/2017 9:38:47 AM	Microsoft-Windows-EapHost	2002	Peer	Skipping: Eap method DLL path validation failed. Error: typeId=254, authorId=311, vendorId=14122, vendorType=1
